"age","income","meanhourswatched","Film1","Film2","Film3","Film4","Film5","Film6","Film7","Film8","Film9","Film10"
24,86.88,19.69,"River, The","Seobe","Damned If You Don't","Dead Skunk","Children of the Struggle","Pleasure Pill","Mboutoukou","Ren Sheng","Piggy Bank","Mauvaise conduite"
37,71.05,10.49,"Uttoran","Scomparsa","Missionary Positions","Starting Up","Classic Queen","Grass Arena, The","Uttoran","Anuradha","Mond im Skorpion","Narrow Trail, The"
48,101.38,26.82,"Man Who Invented the Moon","Orekhovyy khleb","Day Out, A","American Pictures","Champions of the World","Cerebrium","Goodnight Bill","Reasonable Hypothesis, A","Shawshank Redemption, The","Velichieto na hana"
30,74.81,11.1,"Dalu","Bachelor Tom Peeping","Looking Out","Yurusarezaru mono","Goodnight Bill","Mimmo & Paulie","Shopping Part, The","Thanks for Nothing","Punto y raya","Slonyonok"
20,94.55,16.92,"Adaptatziya","Arc","Paperchase in Berlin","Dai chushingura","Beer Muscles","Filmic Achievement","Last Stand","Memory of Justice, The","Simulacrum","Backjumping"
68,52.67,19.21,"How to Be a Model (A 12 Step Plan)","Final Solution","So Many Miracles","Names of Sin","In girum imus nocte et consumimur igni","Message From Moonbase Alpha","Anantaram","Etat","Body Language","Boldog lovak"
39,68.02,26.22,"F*Stop","Epic Tale of Kalesius and Clotho: A Meditation on the Impossibility of Romantic Love in a Rapidly Expanding Universe, The","Darcy's Off-White Wedding","Umi to dokuyaku","Baddegama","D.I.Y. or Die: How to Survive as an Independent Artist","Mona Lisa Descending a Staircase","Offering, The","Stay Clean","Berge in Flammen"
70,105.06,26.41,"Army of One","Hempmento","Funeral de los dedos, El","Future of Food, The","Ceniciento, El","P mesle pelican","Bunker - Die letzten Tage","Drive-by Shooting","Kan Zeh Lo Sham","2wks, 1yr"
28,84.86,12.68,"That Lady From Peking","Tsisperi mtebi anu arachveulebrivi ambavi","Hand of Fate","Oath, The","Adamah","Damned If You Don't","Wild Girls Gone","Fara","Sembilu II","State of Wonder"
43,76.97,33.46,"Devadasu","Familia de tantas, Una","Privarzaniyat balon","Snegurochka","Skazki... skazki... skazki starogo Arbata","Garriage: A Documentary in 4 Chapters and an Epilogue","Curtis","Anuradha","Spaceman","Cicadas"
38,83.7,20.78,"Radevou ston aera","Planetata na sakrovishtata","Un homme qui dort","Drugiyat nash vazmozhen zhivot","Tabiate bijan","New World, The","Miami","Abduction of Figaro","Kehrwoche","Jantjes, De"
18,92.08,20.41,"Okkadu","Perils in Nude Modeling","Mr Firecul","Fazilet","Defilada","Matelas, Le","Maison de jade, La","Hempmento","Freak Orlando","Judy's Time"
59,72.1,8.23,"Pulso, O","Diary of a Bad Lad","Bear Country","Throwing Down","Falling Words","Dieses Jahr in Czernowitz","Mis","Messe pour un corps","Blue Bird, The","TransAmazon: A Gender Queer Journey"
21,70.17,17.07,"Adaptatziya","Nemuri Kyoshiro 3: Engetsugiri","Edward Said: The Last Interview","Cerebrium","Sandcastles","Miracle des loups, Le","Na klancu","Totoong buhay ni Pacita M., Ang","Shotgun Wedding","Epilog"
30,60.2,8.88,"Menq enq, mer sarere","Halfway Point","Thisavros tou makariti, O","Dva boytsa","Maso et Miso vont en bateau","Canceled Lives: Letters from the Inside","Victim, The","Ballad of Courtney & James, The","Wired 03:36","Standing by Yourself"
52,78.55,45.03,"Bear Country","Mil e Uma","Kiss on the Nose, A","Land of Look Behind","If","Weg ist das Spiel, Der","Eating","Kakabakaba ka ba?","Veronika's Birthday","Tak for Alt: Survival of a Human Spirit"
62,73.06,8.29,"Byalata staya","Nicole's Revenge","Deathdealer: A Documentary","Otra, La","Orekhovyy khleb","Sieg, Der","Earl's Your Uncle","Fara","Bashta mi boyadzhiyata","Memory of Justice, The"
36,74.35,41.35,"Tie Xi Qu: West of the Tracks - Part 2: Remnants","Ketchup and Mustard Man, The","Unbekannte Deserteur, Der","Pelli Chesi Choodu","Sunrise Over Tiananmen Square","Slonyonok","Adamah","Take It Back","Ninjo kami fusen","Hamster PSA"
66,70,125.73,"Kan Zeh Lo Sham","To Be Alive!","Baiju Bawra","Final Solution","Weg ist das Spiel, Der","Jojo in the Stars","Devchata","Saturday Night at the Palace","Keeper of the Past","Kiss on the Nose, A"
60,73.95,35.74,"Dieses Jahr in Czernowitz","Frodo Is Great... Who Is That?!!","Oil Factor: Behind the War on Terror, The","Empty Building, The","Jagadeka Veeruni Katha","Mimmo & Paulie","Pudeur ou l'impudeur, La","V chetverg i bolshe nikogda","Taking Tiger Mountain","Kyriakatiko xypnima"
68,72.57,134.27,"Blood of the Beast","Epilog","Nearly Unadventurous Life of Zoe Cadwaulder, The","Zenith","Oru Vadakkan Veeragatha","Burning the Grump","Parking","Examen","Falling Words","Sailor in the Wild"
47,74.42,36.58,"American Beer","Army of One","Otto","Ringgit Kasorrga","Tino","Totul pentru fotbal","Matelas, Le","Devil Talk","Curtis","Winter"
64,57.49,92.07,"Thanks for Nothing","Slonyonok","Summer Sonata, A","Michel J","Slonyonok","Mil e Uma","Deep Down in Florida","Brothers... On Holy Ground","One of Us","Two Days with Juliet"
53,52.78,21.75,"Mr. James and the Plug of Mystery","Rideaux blancs, Les","Brooms","Shades","Home for the Bullets, A","Taste the Sweat!","One Weekend a Month","Starting Up","Aurelia Steiner (Melbourne)","Ekdromi, I"
52,56.95,93.91,"Hausu","Missionary Positions","Hand of Fate","Trollywood","Most Boring Woman in the World, The","Igazi Mao, Az","Miami","Tea with Tiffany","Lebewohl, Fremde","Bingo! The Documentary"
53,63.08,132.27,"Standing by Yourself","Class of 83","Piata Universitatii - Romania","Punto y raya","Legend of the Boy and the Eagle, The","Put More Blood Into the Music","Luba","Goodnight Bill","Nozze di Figaro, Le","Don't Call Me Frankie"
37,78.31,18.45,"Carlos Castaneda: Enigma of a Sorcerer","Deathdealer: A Documentary","Shao Lin san shi liu zhu","Theory of Revenge","Masochist","Gundamma Katha","Noam Chomsky: Personal Influences","Ketchup and Mustard Man, The","Shawshank Redemption, The","And I Lived"
55,89.91,4.5,"In der Fremde","Mi Puerto Rico","Nadare","Erosu purasu Gyakusatsu","Otra, La","Night of a Thousand Screams","Murs du silence, Les","Happy Ending","MGM Sarajevo: Covjek, Bog, Monstrum","Erosu purasu Gyakusatsu"
70,74.7,60.47,"Ringgit Kasorrga","Silver Bells","Clarks","Bharatham","Trial of Jack, The","Mord und Totschlag","Bunker - Die letzten Tage","Stalked","Veronika's Birthday","Screw"
35,43.87,25.08,"Kiga kaikyo","Outside","Right Here, Right Now","Tie Xi Qu: West of the Tracks - Part 3: Rails","Dozen Kliks, A","Shura","I Am My Resume","Preservation","Mala","Standing by Yourself"
54,107.08,14.77,"Noam Chomsky: Personal Influences","San ge heshang","Memory of Justice, The","Three Barbecues: A Blackened Comedy","Razor Eaters","Kakabakaba ka ba?","Ovo malo duse","Point Five","Last Man Running","Travail"
68,85.86,32.03,"Tenamonya yurei dochu","One Weekend a Month","Copi, je t'aime","TransAmazon: A Gender Queer Journey","Aru eiga-kantoku no shogai","Ladendiebstahl","Cashback","Orekhovyy khleb","Morometii","Out of Our Dens: The Richard and the Young Lions Story"
67,51.29,9,"Svatbite na Yoan Asen","Sacred Is the Flesh","Baiju Bawra","Frodo Is Great... Who Is That?!!","Silent Whispers","Tie Xi Qu: West of the Tracks - Part 1: Rust","Skazki... skazki... skazki starogo Arbata","Svatbite na Yoan Asen","100 Years at the Movies","Garriage: A Documentary in 4 Chapters and an Epilogue"
46,53.78,11.89,"Bleach","Fara","Mothers and Daughters","Preservation","Taken for a Ride","Cerebrium","Tie Xi Qu: West of the Tracks - Part 2: Remnants","Repairman, The","Handvoll Helden, Eine","Mi Puerto Rico"
37,78.35,46.24,"Parking","Wide Asleep","Silver Bells","Ciprian Porumbescu","Custodial Code, The","Judy Garland in Concert","Jagadeka Veeruni Katha","There's Something About a Soldier","Goodnite Charlie","Dvoynikat"
25,80.97,6.29,"Standing by Yourself","Stalked","Opasen char","Learning to Swim","Jesus the Driver","Mil e Uma","Godfather, The","Screw","Libby, Montana","Man on the Moon, The"
44,81.18,39.5,"Grauzone","Letters of Service","Please Don't Touch Me","Igazi Mao, Az","Cog","Era outra vez","Menq enq, mer sarere","Narrow Trail, The","Stagestruck: Gay Theatre in the 20th Century","Aurelia Steiner (Melbourne)"
40,75.6,17.6,"Car Trouble","Abduction of Figaro","Paperchase in Berlin","Prodigy, The","David Nelson Live","Shura","Tea with Tiffany","Vacant Possession","Rent's Due","Weg ist das Spiel, Der"
56,70.13,6.11,"Letters of Service","Aurelia Steiner (Melbourne)","Devils Are Dreaming","Phantom Submarine, The","Totul pentru fotbal","Simulacrum","Day Out, A","Lachenite obuvki na neznayniya voin","Self Defense... for Cowards","Consent"
23,87.33,27.99,"Wilna Zona","Uramisten","Godfather, The","Soliloquy","Fratii Jderi","Devil Talk","Original Schtick","Ringgit Kasorrga","No abras nunca esa puerta","Travail"
63,81.14,6.93,"Swingin' in the Painter's Room","Please Don't Touch Me","Paris Chausey","Best Hotel on Skid Row","Goodnite Charlie","Able's House Is Green, The","Velichieto na hana","Breathing Lessons: The Life and Work of Mark O'Brien","Sceny narciarskie z Franzem Klammerem","Quintrala, La"
24,75.41,14.52,"Klezmer on Fish Street","Inseguito","Kitchen Soup for the Soul","Erosu purasu Gyakusatsu","Shades","Derniers feux","Obedience","Sanada Yukimura no bouryaku","Era outra vez","Akatsuki no dasso"
35,81.36,6.65,"Uttoran","Fratii Jderi","Tsisperi mtebi anu arachveulebrivi ambavi","America the Beautiful","Ceniciento, El","Tie Xi Qu: West of the Tracks - Part 3: Rails","So Many Miracles","North of Providence","Sonho de Rose - 10 Anos Depois, O","Few Moments with Eddie Cantor, A"
33,69.55,62.43,"Berge in Flammen","Soliloquy","Ballad of Courtney & James, The","Celebration: The Music of Pete Townshend and The Who","Night of the Dog","Peefeeyatko","Memory of Justice, The","Satyakam","Adamah","Andalousie"
54,64.26,25.88,"Threshold: The Blue Angels Experience","Handvoll Helden, Eine","Juggler of Our Lady, The","Unborn","Challenge","Karl May","Dai chushingura","Akai tenshi","Nieuwe gronden","Able's House Is Green, The"
58,98.72,21.86,"Spandex: A Father's Tale","Let's Rock Again!","Un homme qui dort","Theory of Revenge","Arrangement","Shyamchi Aai","Dimensia Minds Trilogy: The Hope Factor","Text of Light, The","Dating","Jonas"
24,68.39,16.07,"Ritzar bez bronya","Mumi-troll i drugie","Damned If You Don't","Pranzo onirico, Il","Slyozy kapali","Mind Game","Itim","Night of a Thousand Screams","Akkareakkareakkare","Foet"
61,90.41,60.13,"Berlin Berlin","Metropolitan","Groove Requiem in the Key of Ski","Iarna bobocilor","Wedding Advice: Speak Now or Forever Hold Your Peace","That Lady From Peking","Crazy Love","Ride","Tupperware!","Cookery for Men"
43,95.39,4.84,"Story from Bhutan: The Making of 'Travellers & Magicians', A","Sveto mesto","Family Portrait","Losing Ground","Derniers feux","Happy Ending","Preservation","Enter Achilles","Dimensia Minds Trilogy: The Hope Factor","Shoe Store, The"
19,80.72,42.98,"Edsville","Phantom Submarine, The","Piata Universitatii - Romania","Simitrio","Cachorros","Distinto amanecer","Des Hoyaa Pardes","Black Canyon","America's Sweetheart: The Mary Pickford Story","Otto ga mita 'Onna no kabako' yori"
51,72.26,14.74,"Murder of Fred Hampton, The","Blaze Orange","Otto","Lipservice","Night of a Thousand Screams","As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty","Grande Mentecapto, O","Palacio presidencial!","Kehrwoche","Causality"
45,64.91,19.48,"TankUp.US","Pelli Chesi Choodu","Derniers feux","Breathing Lessons: The Life and Work of Mark O'Brien","Mission: Space","Home Improvements","Freak Orlando","Classic Queen","Anuradha","Hausu"
33,50.34,6.27,"Handicap","Gallo de oro, El","From Sam","Devadasu","BattleGround: 21 Days on the Empire's Edge","Nemuri Kyoshiro 3: Engetsugiri","Derniers feux","Chernov/Chernov","Chords of Fame","Dohyosai"
20,55.68,18.28,"Evidencia invisible","Cabina, La","Nozze di Figaro, Le","Maison de jade, La","Put More Blood Into the Music","Kehrwoche","Sylvia, rimembri ancora?","Incredible Manitoba Animation","Normal Love","Ponchada"
46,52.79,7.39,"Trishagni","So Many Miracles","Under-Pup, The","Simulacrum","Frodo Is Great... Who Is That?!!","New World, The","Empty Building, The","Unborn","Super Bitchin' Muscle Car","Ina, kapatid, anak"
68,73.05,50.13,"Otto","Take It Back","Miami","Fantasmas burlones, Los","Boys of Venice, The","Dosti","Wachsexperimente","Judy's Time","Shinobugawa","Pudeur ou l'impudeur, La"
46,76.57,29.09,"Freaks Uncensored!","Take It Back","Space Available","Mothers and Daughters","Young Gentlemen","Sechse kommen durch die Welt","Threshold: The Blue Angels Experience","Piata Universitatii - Romania","Screw","Young Gentlemen"
71,83.16,11.07,"Kitchen Soup for the Soul","Chibideka monogatari","D.I.Y. or Die: How to Survive as an Independent Artist","Kaidan Oiwa no borei","Ladendiebstahl","I Wish You Love","Staromodnaya komediya","Kiss on the Nose, A","Ando volando bajo","Gallo de oro, El"
59,69.15,6.44,"Able's House Is Green, The","King of the Hill","New World, The","We Are the Champions","Hombre de la esquina rosada, El","Perfect Eyes","Bint El-Harass","Body Language","It's a Bird","Kaidan Oiwa no borei"
66,75.42,6.72,"Snell Show, The","Shyamchi Aai","Marienthal: State of Emergency","Blaze Orange","Dvoynikat","What Is Funny?","+1 -1","Soldier, The","Mala","Obyknovennoye chudo"
64,80.51,15.5,"Evil Surprise, The","Thanatopsis","Classic Queen","Perils in Nude Modeling","Fandom","Silver Bells","Michel J","Copi, je t'aime","Taking Tiger Mountain","Lipservice"
55,81.13,50.6,"Viena","BattleGround: 21 Days on the Empire's Edge","Dvoynikat","Boy-Next-Door","Thanatopsis","Spandex: A Father's Tale","Morphin(e)","Karl May","Obedience","Dosti"
58,47.6,15.61,"Soul to Soul","Professor Columbus","Empty Building, The","Put More Blood Into the Music","Hammer and Cycle","Breakup Film, The","Mani","Pulso, O","Guarding Eddy","Umi to dokuyaku"
28,60.42,19.49,"Razor Eaters","Uncrating and Assembly of the P-47 Thunderbolt Airplane","Dieses Jahr in Czernowitz","Sailor in the Wild","Off","Safar barlek","Devils Are Dreaming","In girum imus nocte et consumimur igni","Mighty Times: The Legacy of Rosa Parks","That Lady From Peking"
41,86.36,171.75,"Art Pepper: Notes from a Jazz Survivor","Oil on Ice","Glissando","J-K Conspiracy, The","Sanpeet","Deedar","It's a Bird","Shawshank Redemption, The","Sofi","Snegurochka"
62,69.8,300,"Out of Our Dens: The Richard and the Young Lions Story","Starting Up","Bharatham","Fandom","Dark Agent and the Passing of the Torch Chapter 7, The","Dohyosai","Genet parle d'Angela Davis","Class of 83","Piata Universitatii - Romania","Ballad of Courtney & James, The"
42,66.98,9.78,"Birth of a Robot","There's Something About a Soldier","Safar barlek","Cashback","Dohyosai","Mirt Sost Shi Amit","Portile albastre ale orasului","Erosu purasu Gyakusatsu","Ivan Groznyy III","Fratii Jderi"
28,97.04,19.13,"Three Sisters on Moon Lake","Innocence Project, The","Kureopatora","Cabina, La","Day Out, A","Off","Blake's Junction 7","Tie Xi Qu: West of the Tracks - Part 1: Rust","Cape of Good Hope","Herrenpartie"
23,78.67,6.51,"Sonho de Rose - 10 Anos Depois, O","Satsujin kyo jidai","Timekeeper, The","Rokoko","Pony","Nozze di Figaro, Le","Molly's Pilgrim","Edward Said: The Last Interview","Looking Up","Mil e Uma"
33,59.31,266.47,"Little Richard Story, The","Dai chushingura","Studie Nr. 10","Final Solution","Pillowfight","In der Fremde","Chernov/Chernov","Jonas","Uramisten","Nun Fu"
57,81.78,11.43,"Apartment 206","Ketchup and Mustard Man, The","Letzte Rache, Die","Focus Group","Step Across the Border","Maskerade","Grauzone","Pictures from a Revolution","Luba","Time with Nyenne"
58,50.65,49.8,"Complex Sessions, The","In der Fremde","Odin shans iz tysyatsi","Story from Bhutan: The Making of 'Travellers & Magicians', A","Na voyne, kak na voyne","Let's Rock Again!","Twelve Months","Kom tillbaka","Let's Rock Again!","War Story"
31,65.53,5.86,"Ritzar bez bronya","Cog","Pony","Black Canyon","Thanks for Nothing","Missionary Positions","Avantazh","Aien kyo","Baxter, The","Directing Rye"
50,79.12,22.34,"Story","Vita difficile, Una","Private Road","Tailspin Tommy in The Great Air Mystery","Bharatham","Otto","Blood of the Beast","Kehrwoche","Ovo malo duse","Moonlight in Vermont"
22,54.67,22.55,"Phantom Submarine, The","Plus rien...","Ribelli per caso","Defilada","Examen","Tenamonya yurei dochu","Iparhi kai filotimo","Bona","Dosti","Bashta mi boyadzhiyata"
43,85.85,120.92,"Monique, Lip I","Pudeur ou l'impudeur, La","Tak for Alt: Survival of a Human Spirit","Adamah","Oru Vadakkan Veeragatha","Little Failures","Messe pour un corps","Berge in Flammen","2wks, 1yr","I Wish My Beer Was as Cold as Your Heart"
66,62.92,25.19,"Mind Game","Timekeeper, The","Bint El-Harass","Anantaram","America's Sweetheart: The Mary Pickford Story","Herrenpartie","Mona Lisa Descending a Staircase","Des Hoyaa Pardes","Three Sisters on Moon Lake","Meet the Stars: Meet Roy Rogers"
68,47.27,41.95,"Night of a Thousand Screams","Shopping Part, The","Libby, Montana","Gotejar da Luz, O","Bona","Hammer and Cycle","Nieuwe gronden","Ammazzali tutti e torna solo","Vers l'Inde","Gotejar da Luz, O"
64,50.65,33.79,"Itim","Devil Talk","Orekhovyy khleb","Thunder in Guyana","Little Failures","Era outra vez","Ningen no joken III","John Henry and the Inky-Poo","Baxter, The","Taffy Was Born"
28,56.2,136.53,"Trishagni","Dusk","Pee Shy","Tak for Alt: Survival of a Human Spirit","To Render a Life","Dead Skunk","Dolor de pagar la renta, El","Matelas, Le","Carlos Castaneda: Enigma of a Sorcerer","Laatste Joegoslavische elftal, Het"
36,85.25,89.47,"Boldog lovak","Man Who Invented the Moon","Original Schtick","Da no tien gu","Jantjes, De","Body Language","Grande Mentecapto, O","Hippie Highway","Odin shans iz tysyatsi","Staccato Purr of the Exhaust"
32,79.13,10.33,"Obedience","Pulso, O","Eating","Mboutoukou","Meet the Stars: Meet Roy Rogers","Date, The","Three Sisters on Moon Lake","Half Sister","Ketchup and Mustard Man, The","Remembering November"
48,104.13,35.88,"Threshold: The Blue Angels Experience","Sonho de Rose - 10 Anos Depois, O","Mothers and Daughters","Vers l'Inde","Tenamonya yurei dochu","Kyriakatiko xypnima","Boldog lovak","Wild Girls Gone","Vestido, O","Safar barlek"
23,69.42,53,"Codename: Simon","Deathdealer: A Documentary","New World, The","Shao Lin san shi liu zhu","Screw","Un homme qui dort","Akai tenshi","Jantjes, De","Few Moments with Eddie Cantor, A","Meteo"
48,101.71,5.79,"Evidencia invisible","Start of Something, The","Shura","Hell-Bent for Election","Handicap","Bingo! The Documentary","Cashback","Weg ist das Spiel, Der","Studie Nr. 10","Testament of Tom Jacoby, The"
58,78.12,89.15,"Martin Four","Safar barlek","Ciprian Porumbescu","Brothers... On Holy Ground","Optimisticheskaya tragediya","Derniers feux","Fishing for Love","Dosti","Driving Fish","Totoong buhay ni Pacita M., Ang"
25,79.7,2.17,"Wedding Advice: Speak Now or Forever Hold Your Peace","Kaidan Oiwa no borei","Dimensia Minds Trilogy: The Reds","Text of Light, The","Goodnight Bill","Great Gabble, The","Dohyosai","Robin's Nest","Itim","Aurelia Steiner (Melbourne)"
64,91.41,18.25,"Maison de jade, La","Guarding Eddy","Shades","Na klancu","Sommer der Liebe","Professor Columbus","Slyozy kapali","Breakup Film, The","Perfect Eyes","Marienthal: State of Emergency"
25,51.85,5.53,"Udzinarta mze","Drugiyat nash vazmozhen zhivot","Our Country","Ivan Groznyy III","Oscura noche","Thisavros tou makariti, O","Swingin' in the Painter's Room","Taste the Sweat!","Robin's Nest","Chanoc y el hijo del Santo contra los vampiros asesinos"
60,51.98,12.47,"Ister, The","Aurelia Steiner (Melbourne)","Island, The","Young Gentlemen","Tres tristes tigres","Pushpak","Shyamchi Aai","Arrangement","Ingmar Bergmanin maailma","Milagro of Boyle Heights, The"
28,89.1,37.98,"Ciprian Porumbescu","King of the Hill","Kiss on the Nose, A","Paraiso","Insomnia Is Good for You","Marienthal: State of Emergency","Take It Back","Sanpeet","Spaceman","No abras nunca esa puerta"
65,59.81,21.43,"Cookery for Men","Dozen Kliks, A","Radevou ston aera","Behind the Mascot","Totul pentru fotbal","Ammazzali tutti e torna solo","Satellite","Burning the Grump","Mond im Skorpion","Sieg, Der"
49,87.8,2.9,"Phantom Submarine, The","Ponchada","Reasonable Hypothesis, A","Yurusarezaru mono","Most Boring Woman in the World, The","Cerebrium","Avantazh","Andalousie","Devils Are Dreaming","Ingmar Bergmanin maailma"
64,64.4,2.58,"Veronika's Birthday","Peaceable Kingdom","You Are Not I","Martin Four","Genet parle d'Angela Davis","Pleasure Pill","2wks, 1yr","I Am My Resume","Burning the Grump","Mord und Totschlag"
56,79.2,3.54,"Final Solution","Silent Call, The","Leng mian hu","Herkus mantas","Ammazzali tutti e torna solo","D-Day Remembered","Miracle des loups, Le","Nadare","Jonas","Thisavros tou makariti, O"
34,60.41,168.81,"Mala","Angae","Latitude Zero","C'est le vent","Outside","Perfect Eyes","Home for the Bullets, A","Chibideka monogatari","Tsisperi mtebi anu arachveulebrivi ambavi","Des Hoyaa Pardes"
50,54.53,66.35,"That Lady From Peking","Anyone","Velichieto na hana","Jagadeka Veeruni Katha","Pranzo onirico, Il","Deedar","Inexplicable","Boys of Venice, The","Shopping Part, The","Names of Sin"
62,82.57,22.79,"Mona Lisa Descending a Staircase","Born In Freedom: The Story of Colonel Drake","Matriarhat","Ammazzali tutti e torna solo","Sofi","Menq enq, mer sarere","Shura","Buck Privates","War Story","Take It Back"
21,77.76,18.75,"Alone Across Australia","Here After","Trishagni","Penis Envy","Oil on Ice","Pictures at an Exhibition","Sundown","Bunker - Die letzten Tage","Blind","Bint El-Harass"
22,66.31,6.59,"Ammazzali tutti e torna solo","Daniel's Spark","American Exile","Embun","Thanatopsis","Funeral de los dedos, El","Mystic Motel, The","River, The","Sandcastles","Evolver: Making of Youthanasia"
68,93.43,166.58,"Mr. James and the Plug of Mystery","Ekdromi, I","Rideaux blancs, Les","As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty","Prodigy, The","Shura","PX","Nun Fu","Devadasu","Valkoiset ruusut"
67,68.5,7.37,"Chernov/Chernov","Slyozy kapali","Chasing the Edge","Earl's Your Uncle","Grande Mentecapto, O","Hayride to Hell","Adaptatziya","Brooms","Sembilu II","Anyone"
71,85.54,5.03,"Taking Tiger Mountain","Cashback","Pulso, O","Land of Look Behind","Nearly Unadventurous Life of Zoe Cadwaulder, The","Staromodnaya komediya","Stalked","Point Five","Children of the Struggle","Herkus mantas"
56,69.69,21.89,"Boy","Thanatos","Planetata na sakrovishtata","Odin shans iz tysyatsi","Latitude Zero","Secretul lui Bachus","Idealist","Blood of the Beast","Don't Call Me Frankie","Hell-Bent for Election"
59,49.1,24.69,"Nemuri Kyoshiro 3: Engetsugiri","Uttoran","Maso et Miso vont en bateau","Anuradha","Nemuri Kyoshiro 3: Engetsugiri","Wedding Advice: Speak Now or Forever Hold Your Peace","Uramisten","Little Richard Story, The","Arc","North of Providence"
57,60.54,10.31,"Nozze di Figaro, Le","Sceny narciarskie z Franzem Klammerem","Secretul lui Bachus","Copi, je t'aime","Allegro ma non troppo","Tailspin Tommy in The Great Air Mystery","Kyriakatiko xypnima","Cape of Good Hope","Busting Out","Murder of Fred Hampton, The"
55,56.43,38.39,"Miracle Goes On, The","Dai chushingura","Names of Sin","Nozze di Figaro, Le","Hot Java","Gene Autry, Melody of the West","Velichieto na hana","Enter Achilles","Tino","Deathdealer: A Documentary"
68,89.94,13.08,"Complex Sessions, The","Thanks for Nothing","Chasing Daylight","Boy-Next-Door","Art Pepper: Notes from a Jazz Survivor","Victim, The","Tino","Gardiens de phare","Sommer der Liebe","Simulacrum"
27,77.28,42.67,"Laatste Joegoslavische elftal, Het","Devchata","Soul to Soul","Allegro ma non troppo","Thunder in Guyana","State of Wonder","Ningen no joken III","Mothers and Daughters","Today Was Thursday","Portile albastre ale orasului"
25,57.47,2,"Soul to Soul","Odin shans iz tysyatsi","Catene","Home Improvements","What Is Funny?","Home for the Bullets, A","Pillowfight","Berge in Flammen","Neurosia - 50 Jahre pervers","Goal Club"
54,37.53,8.88,"Falling Words","Bari Theke Paliye","From Sam","Children of the Struggle","Sandcastles","Akai tenshi","Lebewohl, Fremde","Epic Tale of Kalesius and Clotho: A Meditation on the Impossibility of Romantic Love in a Rapidly Expanding Universe, The","En la palma de tu mano","Razor Eaters"
54,78.4,35.92,"TransAmazon: A Gender Queer Journey","Kakabakaba ka ba?","Anne of Green Gables","Dark Agent and the Passing of the Torch Chapter 7, The","Simulacrum","Kommunist","Copi, je t'aime","Point Five","Akai tenshi","Angae"
63,66.58,11.94,"Spaceman","Dark Agent and the Passing of the Torch Chapter 7, The","Peefeeyatko","Clarks","Suspension of Disbelief","Change Up","Time with Nyenne","Akai tenshi","Dark Agent and the Passing of the Torch Chapter 7, The","Focus Group"
52,43.64,8.65,"Garriage: A Documentary in 4 Chapters and an Epilogue","Perfect Location, The","Great Gabble, The","Joyce Story, A","Bleach","Army of One","Point Five","Fazilet","Leila Diniz","Tailspin Tommy in The Great Air Mystery"
41,43.26,11.42,"Piggy Bank","Miracle Goes On, The","+1 -1","Cabina, La","Juggler of Our Lady, The","Three of Us, The","Empty Building, The","Oro, Plata, Mata","Ister, The","Taken for a Ride"
37,96.81,172.36,"Ingmar Bergmanin maailma","V chetverg i bolshe nikogda","D-Day Remembered","Macabre Pair of Shorts","Simpsons: Family Portrait, The","Dalu","Chomana Dudi","Tasty","Mala","Bharatham"
21,43.81,15.01,"Molly's Pilgrim","Dolor de pagar la renta, El","Ribelli per caso","Shopping Part, The","Young Americans","Mil e Uma","Odin shans iz tysyatsi","Chords of Fame","Story","Thanatos"
30,74.26,13.99,"Nemuri Kyoshiro 3: Engetsugiri","Icarus Descending","Dirty Diamonds","Thanatopsis","Manipulation","Dohyosai","Era outra vez","Miami","Blake's Junction 7","Film Geek"
59,66.48,123.83,"Amants de Teruel, Les","Sagara Sangamam","To Be Alive!","Timekeeper, The","Tupperware!","Bint El-Harass","Leng mian hu","Breakup Film, The","En la palma de tu mano","Chanoc y el hijo del Santo contra los vampiros asesinos"
30,69.75,10.67,"Pictures at an Exhibition","Snookles","Nieuwe gronden","Monique, Lip I","Sveto mesto","Dark Agent and the Passing of the Torch Chapter 7, The","Sledvay me","Epilog","Holly - Bolly","Simitrio"
25,75.83,17.55,"Parking","Keeper of the Past","Maskerade","Normal Love","Libby, Montana","Sunrise Over Tiananmen Square","Vacant Possession","Two Days with Juliet","Evolver: Making of Youthanasia","Bench, The"
46,76.19,67.42,"There's Something About a Soldier","Etat","Last Stand","Kitchen Soup for the Soul","Maman que man","Penis Envy","Hippie Highway","Sagara Sangamam","Emily's Last Date","Devil Talk"
23,64.14,24,"Miracle Goes On, The","Nun Fu","Mimmo & Paulie","Apartment 206","Monique, Lip I","Among Thieves","Pushpak","Buck Privates","Macabre Pair of Shorts","Kaidan Oiwa no borei"
33,49.61,7.06,"Big Question, The","Titanic vals","Car Trouble","Radevou ston aera","Tie Xi Qu: West of the Tracks - Part 1: Rust","Silver Bells","King of the Hill","Darcy's Off-White Wedding","Dark Agent and the Passing of the Torch Chapter 7, The","Paris minuit"
26,51.22,48.34,"Morphin(e)","Shotgun Wedding","Krylya","Earl's Your Uncle","Skazki... skazki... skazki starogo Arbata","Pee Shy","Frodo Is Great... Who Is That?!!","Shopping Part, The","Final Solution","MGM Sarajevo: Covjek, Bog, Monstrum"
