Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season
Joe Corona,LA,M,31,26,2324,1,3,18,4,0,0/0,1,0,0.04,5.6,0,3,0,0.12,43,37,2,6,0,22.22,2019,reg
Sacha Kljestan,LA,M,23,13,1352,1,3,19,6,1,0/0,0,1,0.07,5.3,1,3,0,0.2,19,11,1,3,1,31.58,2019,reg
Luis Argudo,MIA,M,21,10,1062,1,3,19,6,0,0/0,0,1,0.08,5.3,0,1,2,0.25,15,14,0,1,0,31.58,2019,reg
Bastian Schweinsteiger,CHI,M,30,30,2676,1,3,24,4,1,0/0,1,0,0.03,4.2,0,2,1,0.1,31,31,0,10,0,16.67,2019,reg
Keegan Rosenberry,COL,D,34,34,3060,1,3,24,2,0,0/0,0,1,0.03,4.2,1,2,1,0.09,33,9,3,3,0,8.33,2019,reg
Roland Lamah,CIN,M,28,22,1782,1,3,29,11,0,0/0,0,1,0.05,3.4,1,1,2,0.15,13,28,7,0,1,37.93,2019,reg
Nick Besler,RSL,M,17,7,727,1,2,3,2,0,0/0,1,0,0.12,33.3,0,1,1,0.25,15,12,0,4,0,66.67,2019,reg
Jalil Anibaba,NSH,D,22,19,1764,1,2,5,2,0,0/0,1,0,0.05,20.0,0,0,2,0.1,12,8,1,3,1,40.0,2019,reg
Kenny Saief,CIN,M,9,6,566,1,2,5,2,0,0/0,0,1,0.16,20.0,1,0,2,0.32,15,15,0,0,0,40.0,2019,reg
Steven Beitashour,LFC,D,25,24,1881,1,2,6,2,0,0/0,0,1,0.05,16.7,0,1,1,0.1,26,15,1,3,0,33.33,2019,reg
Jorgen Skjelvik,LA,D,20,19,1681,1,2,6,1,0,0/0,0,1,0.05,16.7,2,2,0,0.11,26,7,1,4,0,16.67,2019,reg
Kyle Duncan,RBNY,D,13,13,1080,1,2,6,1,1,0/0,0,1,0.08,16.7,0,1,1,0.17,21,24,2,4,0,16.67,2019,reg
Victor Ulloa,MIA,M,26,22,1945,1,2,9,3,1,0/0,1,0,0.05,11.1,0,1,1,0.09,20,9,0,4,0,33.33,2019,reg
Tosaint Ricketts,VAN,F,8,6,482,1,2,10,5,0,0/0,0,1,0.19,10.0,0,1,1,0.37,4,1,1,1,0,50.0,2019,reg
Harry Novillo,MTL,M,11,5,439,1,2,11,4,1,0/0,1,0,0.21,9.1,0,0,2,0.41,6,8,0,1,0,36.36,2019,reg
Richie Laryea,TOR,M,20,16,1468,1,2,17,4,0,0/0,1,0,0.06,5.9,0,1,1,0.12,12,53,6,6,0,23.53,2019,reg
Nick Lima,SJ,D,24,21,1810,1,2,17,4,1,0/0,1,0,0.05,5.9,1,1,1,0.1,27,23,7,4,0,23.53,2019,reg
Andreas Ivan,NY,M,12,5,486,1,2,21,6,0,0/0,0,1,0.19,4.8,0,1,1,0.37,10,7,3,0,0,28.57,2019,reg
Mathieu Deplagne,CIN,D,33,33,2878,1,2,23,7,0,0/0,1,0,0.03,4.3,0,2,0,0.06,27,25,2,4,0,30.43,2019,reg
Miguel Ibarra ,SEA,M,22,16,1505,1,2,23,3,0,0/0,0,1,0.06,4.3,0,1,1,0.12,16,12,3,4,0,13.04,2019,reg
Leonardo Bertone,CIN,M,25,22,2055,1,2,28,5,0,0/0,0,1,0.04,3.6,2,2,0,0.09,28,9,1,9,0,17.86,2019,reg
Sean Nealis,RBNY,D,9,3,452,1,1,2,1,1,0/0,0,1,0.2,50.0,1,1,0,0.2,6,3,0,1,0,50.0,2019,reg
Anthony Fontana,PHI,M,8,0,119,1,1,3,1,0,0/0,1,0,0.76,33.3,0,1,0,0.76,5,2,0,0,0,33.33,2019,reg
Mo Adams,ATL,M,14,6,574,1,1,3,2,0,0/0,0,1,0.16,33.3,0,1,0,0.16,15,8,0,5,0,66.67,2019,reg
Connor Lade,NY,D,11,10,845,1,1,5,1,1,0/0,1,0,0.11,20.0,0,1,0,0.11,11,13,0,0,0,20.0,2019,reg
Graham Smith,SKC,D,11,10,882,1,1,8,4,1,0/0,1,0,0.1,12.5,1,1,0,0.1,8,5,0,1,0,50.0,2019,reg
Amro Tarek,RBNY,D,20,19,1477,1,1,8,4,0,0/0,1,0,0.06,12.5,0,1,0,0.06,16,5,0,5,1,50.0,2019,reg
Bressan,DAL,D,18,12,1119,1,1,8,5,0,0/0,1,0,0.08,12.5,1,1,0,0.08,21,8,0,1,0,62.5,2019,reg
Ayo Akinola,TOR,F,8,2,253,1,1,8,3,0,0/0,1,0,0.36,12.5,0,1,0,0.36,3,4,3,1,0,37.5,2019,reg
Shamit Shome,MTL,M,27,18,1627,1,1,8,3,1,0/0,0,1,0.06,12.5,0,1,0,0.06,29,19,2,3,0,37.5,2019,reg
Carlos Ascues,ORL,D,17,14,1113,1,1,9,3,0,0/0,1,0,0.08,11.1,1,1,0,0.08,25,9,2,2,0,33.33,2019,reg
Michaell Chirinos,VAN,F,7,4,412,1,1,10,6,1,0/0,0,1,0.22,10.0,0,0,1,0.22,9,6,1,2,0,60.0,2019,reg
Handwalla Bwana,SEA,M,15,6,567,1,1,10,4,1,0/0,1,0,0.16,10.0,0,1,0,0.16,5,4,3,1,0,40.0,2019,reg
Reggie Cannon,DAL,D,28,26,2268,1,1,10,1,0,0/0,1,0,0.04,10.0,0,1,0,0.04,21,31,0,7,0,10.0,2019,reg
Lass Bangoura,VAN,M,17,7,634,1,1,11,4,0,0/0,0,1,0.14,9.1,0,0,1,0.14,13,8,3,1,0,36.36,2019,reg
Donny Toia,RSL,D,24,24,2143,1,1,11,2,0,0/0,0,1,0.04,9.1,0,1,0,0.04,21,9,2,3,0,18.18,2019,reg
Omar Gonzalez,TOR,D,14,14,1260,1,1,12,4,0,0/0,0,1,0.07,8.3,0,1,0,0.07,7,4,1,0,0,33.33,2019,reg
Felipe,DC,M,27,22,1918,1,1,12,3,1,0/0,0,1,0.05,8.3,0,0,1,0.05,32,28,0,6,0,25.0,2019,reg
Josh Perez,LFC,F,13,4,454,1,1,12,6,0,0/0,1,0,0.2,8.3,0,0,1,0.2,7,7,3,0,0,50.0,2019,reg
Derrick Etienne Jr.,CLB,M,16,7,684,1,1,13,6,1,0/0,1,0,0.13,7.7,0,0,1,0.13,8,19,2,0,0,46.15,2019,reg
DeJuan Jones,NE,D,20,14,1296,1,1,13,4,0,0/0,0,1,0.07,7.7,1,1,0,0.07,5,7,2,0,0,30.77,2019,reg
Quincy Amarikwa,DC,F,23,3,414,1,1,13,4,0,0/0,1,0,0.22,7.7,0,1,0,0.22,19,10,8,3,0,30.77,2019,reg
Matt Hedges,DAL,D,33,33,2884,1,1,13,3,0,0/0,1,0,0.03,7.7,0,0,1,0.03,12,8,0,5,1,23.08,2019,reg
Erik Godoy,VAN,D,29,28,2596,1,1,13,2,0,0/0,1,0,0.03,7.7,0,0,1,0.03,29,8,0,6,0,15.38,2019,reg
Andy Rose,VAN,M,24,20,1850,1,1,14,4,1,0/0,0,1,0.05,7.1,0,0,1,0.05,12,10,1,2,0,28.57,2019,reg
Wilfried Zahibo,NE,M,24,18,1509,1,1,14,3,0,0/0,1,0,0.06,7.1,0,1,0,0.06,43,16,0,7,1,21.43,2019,reg
Emmanuel Boateng,DC,M,24,7,930,1,1,14,5,1,0/0,0,1,0.1,7.1,0,1,0,0.1,9,3,4,1,0,35.71,2019,reg
Gary Mackay-Steven,NYC,F,12,5,525,1,1,17,7,1,0/0,0,1,0.17,5.9,0,1,0,0.17,3,4,1,0,0,41.18,2019,reg
Walker Zimmerman,NSH,D,25,25,2169,1,1,21,5,1,0/0,1,0,0.04,4.8,0,1,0,0.04,31,12,1,7,1,23.81,2019,reg
Keaton Parks,NYC,M,22,14,1317,1,1,21,12,0,0/0,1,0,0.07,4.8,0,1,0,0.07,28,17,2,3,0,57.14,2019,reg
Leandro Gonzalez Pirez,MIA,D,31,31,2701,1,1,22,5,1,0/0,0,1,0.03,4.5,1,1,0,0.03,49,49,0,11,1,22.73,2019,reg
Ronald Matarrita,NYC,D,24,24,1979,1,1,25,6,0,0/0,0,1,0.05,4.0,0,0,1,0.05,30,12,0,7,1,24.0,2019,reg
Will Johnson,ORL,D,21,20,1697,1,1,28,6,0,0/0,0,1,0.05,3.6,0,1,0,0.05,12,24,0,2,0,21.43,2019,reg
Steven Birnbaum,DC,D,34,34,3032,1,1,29,6,0,0/0,0,1,0.03,3.4,0,0,1,0.03,35,14,6,5,0,20.69,2019,reg
Daniel Salloi,SKC,F,28,16,1541,1,1,49,16,0,0/1,1,0,0.06,2.0,0,0,1,0.06,20,21,4,1,1,32.65,2019,reg
Ashtone Morgan,RSL,D,9,3,308,1,0,1,1,0,0/0,1,0,0.29,100.0,0,0,0,0.0,8,3,0,1,0,100.0,2019,reg
Francis Atuahene,DAL,F,1,0,26,1,0,2,1,0,0/0,0,1,3.46,50.0,0,0,0,0.0,0,0,0,0,0,50.0,2019,reg
Sebastian Anderson,COL,D,6,5,317,1,0,2,1,0,0/0,1,0,0.28,50.0,0,0,0,0.0,7,2,0,1,1,50.0,2019,reg
Juan David Cabezas,HOU,M,15,5,532,1,0,3,1,0,0/0,0,1,0.17,33.3,0,0,0,0.0,16,6,0,4,0,33.33,2019,reg
Darwin Ceren,HOU,M,13,5,530,1,0,4,2,0,0/0,0,1,0.17,25.0,0,0,0,0.0,11,11,0,1,0,50.0,2019,reg
Michael Mancienne,NE,D,16,13,1189,1,0,4,1,0,0/0,0,1,0.08,25.0,0,0,0,0.0,26,4,0,4,1,25.0,2019,reg
Andres Rios,SJ,F,10,1,263,1,0,4,2,0,0/0,1,0,0.34,25.0,0,0,0,0.0,4,17,0,1,0,50.0,2019,reg
Chris Durkin,DC,M,13,7,636,1,0,4,1,0,0/0,0,1,0.14,25.0,0,0,0,0.0,13,12,0,1,0,25.0,2019,reg
Kemar Lawrence,NY,D,22,19,1729,1,0,5,1,0,0/0,1,0,0.05,20.0,0,0,0,0.0,15,17,0,5,0,20.0,2019,reg
Derek Cornelius,VAN,D,17,16,1426,1,0,5,2,0,0/0,0,1,0.06,20.0,0,0,0,0.0,18,5,1,4,0,40.0,2019,reg
Scott Sutter,VAN,D,16,9,980,1,0,5,2,0,0/0,0,1,0.09,20.0,0,0,0,0.0,4,10,1,0,0,40.0,2019,reg
Rodolfo Zelaya,LFC,F,4,1,118,1,0,6,2,0,0/0,0,1,0.76,16.7,0,0,0,0.0,3,2,1,0,0,33.33,2019,reg
Jake Nerwinski,VAN,D,26,24,2023,1,0,6,1,0,0/0,0,1,0.04,16.7,0,0,0,0.0,20,19,0,1,0,16.67,2019,reg
Raheem Edwards,MIN,M,4,2,244,1,0,7,4,0,0/0,1,0,0.37,14.3,0,0,0,0.0,9,4,0,2,0,57.14,2019,reg
Romario Williams,ATL,F,9,1,159,1,0,7,4,0,0/0,0,1,0.57,14.3,0,0,0,0.0,5,6,1,0,0,57.14,2019,reg
Giancarlo Gonzalez,LA,D,20,15,1430,1,0,7,2,0,0/0,0,1,0.06,14.3,0,0,0,0.0,22,3,0,5,0,28.57,2019,reg
Carlos Gruezo,DAL,M,9,9,784,1,0,7,1,0,0/0,0,1,0.11,14.3,0,0,0,0.0,16,5,0,2,0,14.29,2019,reg
Adrien Perez,LAFC,F,12,1,206,1,0,7,3,0,0/0,0,1,0.44,14.3,0,0,0,0.0,3,0,2,0,0,42.86,2019,reg
Botond Barath,SKC,D,21,20,1749,1,0,8,2,0,0/0,0,1,0.05,12.5,0,0,0,0.0,26,8,0,6,0,25.0,2019,reg
Fatai Alashe,CIN,M,11,4,434,1,0,8,5,1,0/0,1,0,0.21,12.5,0,0,0,0.0,9,7,0,2,0,62.5,2019,reg
Nedum Onuoha,RSL,D,27,26,2336,1,0,9,4,0,0/0,1,0,0.04,11.1,0,0,0,0.0,13,9,0,2,0,44.44,2019,reg
Rudy Camacho,MTL,D,17,16,1464,1,0,9,3,0,0/0,1,0,0.06,11.1,0,0,0,0.0,15,6,0,4,0,33.33,2019,reg
Rashawn Dally,CIN,F,12,8,546,1,0,10,4,0,0/0,1,0,0.16,10.0,0,0,0,0.0,4,1,4,0,0,40.0,2019,reg
Auston Trusty,COL,D,22,22,1966,1,0,11,4,1,0/0,0,1,0.05,9.1,0,0,0,0.0,31,13,1,4,1,36.36,2019,reg
Mohamed El-Munir,LAFC,D,15,4,581,1,0,11,3,0,0/0,0,1,0.15,9.1,0,0,0,0.0,17,6,1,2,0,27.27,2019,reg
Joao Plata,RSL,F,17,2,305,1,0,14,5,1,1/1,1,0,0.3,7.1,0,0,0,0.0,4,4,2,0,0,35.71,2019,reg
Youness Mokhtar,CLB,M,8,5,442,1,0,14,5,1,0/0,1,0,0.2,7.1,0,0,0,0.0,6,3,0,1,0,35.71,2019,reg
Roman Torres,MIA,D,17,12,1127,1,0,14,4,1,0/0,1,0,0.08,7.1,0,0,0,0.0,4,5,1,2,0,28.57,2019,reg
Judson,SJ,M,27,23,1915,1,0,15,4,0,0/0,1,0,0.05,6.7,0,0,0,0.0,56,18,0,10,0,26.67,2019,reg
Eddie Segura,LAFC,D,34,33,2955,1,0,16,2,0,0/0,1,0,0.03,6.3,0,0,0,0.0,28,9,0,1,0,12.5,2019,reg
Kendall Waston,CIN,D,25,24,2175,1,0,18,4,1,0/0,1,0,0.04,5.6,0,0,0,0.0,32,15,1,9,1,22.22,2019,reg
Fanendo Adi,CLB,F,12,7,695,1,0,20,6,1,0/0,0,1,0.13,5.0,0,0,0,0.0,12,13,13,1,0,30.0,2019,reg
Bill Tuiloma,POR,D-M,25,21,1919,1,0,28,6,0,0/0,0,1,0.05,3.6,0,0,0,0.0,12,12,0,1,0,21.43,2019,reg
Kai Wagner,PHI,D,30,30,2691,0,8,6,0,0,0/0,0,0,0.0,0.0,3,6,2,0.27,33,26,5,6,1,0.0,2019,reg
Brad Smith,SEA,D,25,22,1974,0,6,11,4,0,0/0,0,0,0.0,0.0,2,5,1,0.27,10,12,3,0,0,36.36,2019,reg
Jorge Villafaña,POR,F,23,22,1947,0,5,8,0,0,0/0,0,0,0.0,0.0,0,5,0,0.23,19,16,1,0,0,0.0,2019,reg
Ruan,ORL,D,25,23,2096,0,5,8,4,0,0/0,0,0,0.0,0.0,3,5,0,0.21,19,37,9,1,0,50.0,2019,reg
Edgar Castillo,ATL,D,20,20,1693,0,5,16,1,0,0/0,0,0,0.0,0.0,0,2,3,0.27,16,14,2,2,0,6.25,2019,reg
Kyle Beckerman,RSL,M,25,24,2134,0,5,17,4,0,0/0,0,0,0.0,0.0,3,4,1,0.21,41,27,0,9,0,23.53,2019,reg
Wil Trapp,MIA,M,28,26,2329,0,4,4,0,0,0/0,0,0,0.0,0.0,0,3,1,0.15,19,17,0,5,0,0.0,2019,reg
Adam Lundkvist,HOU,D,28,26,2387,0,4,6,0,0,0/0,0,0,0.0,0.0,2,3,1,0.15,34,14,3,4,0,0.0,2019,reg
Lee Nguyen,MIA,M,23,11,1170,0,4,18,7,0,0/0,0,0,0.0,0.0,1,0,4,0.31,17,16,0,3,0,38.89,2019,reg
Aaron Herrera,RSL,D,32,31,2768,0,4,19,5,0,0/0,0,0,0.0,0.0,4,4,0,0.13,31,14,2,7,1,26.32,2019,reg
Mauricio Pereyra,ORL,M,6,5,394,0,3,3,1,0,0/0,0,0,0.0,0.0,0,2,1,0.69,9,5,0,1,0,33.33,2019,reg
Russell Teibert,VAN,M,27,26,2202,0,3,8,2,0,0/0,0,0,0.0,0.0,3,2,1,0.12,13,13,2,1,0,25.0,2019,reg
Auro,TOR,D,23,22,1889,0,3,8,3,0,0/0,0,0,0.0,0.0,0,1,2,0.14,14,26,1,0,0,37.5,2019,reg
Joao Moutinho,ORL,D,16,15,1221,0,3,9,2,0,0/0,0,0,0.0,0.0,1,2,1,0.22,16,10,0,1,0,22.22,2019,reg
Efrain Alvarez,LA,M,14,4,518,0,3,12,5,0,0/0,0,0,0.0,0.0,1,3,0,0.52,4,5,0,2,1,41.67,2019,reg
Junior Moreno,DC,M,29,29,2551,0,3,12,3,0,0/0,0,0,0.0,0.0,0,3,0,0.11,30,17,0,3,1,25.0,2019,reg
Roger Espinoza,SKC,M,16,15,1149,0,3,16,6,0,0/0,0,0,0.0,0.0,0,3,0,0.23,27,23,1,4,3,37.5,2019,reg
Maynor Figueroa,HOU,D,25,25,2249,0,3,28,4,0,0/0,0,0,0.0,0.0,0,3,0,0.12,19,25,0,6,1,14.29,2019,reg
Perry Kitchen,LA,M,8,6,573,0,2,0,0,0,0/0,0,0,0.0,0.0,1,0,2,0.31,12,4,0,0,0,,2019,reg
Jon Erice,VAN,M,21,21,1752,0,2,2,0,0,0/0,0,0,0.0,0.0,0,0,2,0.1,23,22,0,2,0,0.0,2019,reg
DaMarcus Beasley,HOU,D,12,12,1032,0,2,3,0,0,0/0,0,0,0.0,0.0,1,1,1,0.17,7,15,2,0,0,0.0,2019,reg
Ben Sweat,MIA,D,18,13,1265,0,2,4,3,0,0/0,0,0,0.0,0.0,0,1,1,0.14,19,9,2,4,0,75.0,2019,reg
Johan Kappelhof,CHI,D,29,29,2562,0,2,6,1,0,0/0,0,0,0.0,0.0,1,2,0,0.07,32,10,0,5,0,16.67,2019,reg
Anibal Godoy,NSH,M-D,15,15,1344,0,2,6,2,0,0/0,0,0,0.0,0.0,0,2,0,0.13,37,29,1,8,0,33.33,2019,reg
Cristian Higuita,ORL,M,9,7,648,0,2,6,1,0,0/0,0,0,0.0,0.0,0,1,1,0.28,14,15,0,5,0,16.67,2019,reg
Diego Chara,POR,M,30,29,2606,0,2,7,1,0,0/0,0,0,0.0,0.0,1,0,2,0.07,69,54,1,11,1,14.29,2019,reg
Jacori Hayes,MIN,M,19,8,848,0,2,7,2,0,0/0,0,0,0.0,0.0,0,1,1,0.21,6,31,0,0,0,28.57,2019,reg
Everton Luiz,RSL,M,27,24,2106,0,2,8,2,0,0/0,0,0,0.0,0.0,1,2,0,0.09,41,39,1,8,0,25.0,2019,reg
Tajon Buchanan,NE,F,10,4,391,0,2,11,2,0,0/0,0,0,0.0,0.0,0,1,1,0.46,5,9,0,0,0,18.18,2019,reg
Daniel Lovitz,NSH,D,28,28,2520,0,2,12,6,0,0/0,0,0,0.0,0.0,0,0,2,0.07,28,11,3,5,0,50.0,2019,reg
Sean Davis,RBNY,M,30,28,2557,0,2,13,3,0,0/0,0,0,0.0,0.0,0,2,0,0.07,32,23,0,0,0,23.08,2019,reg
Joevin Jones,SEA,D-M,17,9,921,0,2,14,7,0,0/0,0,0,0.0,0.0,1,2,0,0.2,10,16,1,2,0,50.0,2019,reg
Harrison Afful,CLB,D,22,22,1905,0,2,19,8,0,0/0,0,0,0.0,0.0,1,1,1,0.09,13,15,1,3,1,42.11,2019,reg
Florian Jungwirth,SJ,D,30,30,2671,0,2,19,6,0,0/0,0,0,0.0,0.0,1,1,1,0.07,39,32,0,4,0,31.58,2019,reg
Kelyn Rowe,NE,M,18,9,870,0,2,23,7,0,0/0,0,0,0.0,0.0,1,2,0,0.21,17,14,0,2,0,30.43,2019,reg
Graham Zusi,SKC,M,27,26,2351,0,2,37,7,0,0/0,0,0,0.0,0.0,0,2,0,0.08,22,33,1,5,0,18.92,2019,reg
Robinho,ORL,M,25,16,1322,0,2,39,13,0,0/0,0,0,0.0,0.0,0,2,0,0.14,20,18,1,0,0,33.33,2019,reg
Ryan Telfer,TOR,F,1,0,3,0,1,0,0,0,0/0,0,0,0.0,0.0,0,1,0,30.0,0,0,0,0,0,,2019,reg
Erik Holt,RSL,D,5,5,371,0,1,0,0,0,0/0,0,0,0.0,0.0,0,0,1,0.24,6,1,0,0,0,,2019,reg
Niko Hamalainen,LFC,D,3,1,95,0,1,0,0,0,0/0,0,0,0.0,0.0,1,1,0,0.95,5,0,0,0,0,,2019,reg
Eric Alexander,CIN,M,6,4,312,0,1,0,0,0,0/0,0,0,0.0,0.0,0,0,1,0.29,4,0,0,0,0,,2019,reg
Collin Martin,MIN,M,3,2,184,0,1,1,0,0,0/0,0,0,0.0,0.0,0,0,1,0.49,8,2,0,0,0,0.0,2019,reg
Warren Creavalle,PHI,M,13,5,367,0,1,1,0,0,0/0,0,0,0.0,0.0,0,0,1,0.25,6,8,1,0,0,0.0,2019,reg
Danilo Acosta,LA,D,8,8,670,0,1,1,0,0,0/0,0,0,0.0,0.0,1,0,1,0.13,3,4,0,1,0,0.0,2019,reg
Bryan Reynolds,DAL,D,10,1,112,0,1,1,0,0,0/0,0,0,0.0,0.0,0,0,1,0.8,3,3,0,0,0,0.0,2019,reg
Jeremiah Gutjahr,CHI,M,8,5,502,0,1,1,0,0,0/0,0,0,0.0,0.0,0,0,1,0.18,3,5,0,1,0,0.0,2019,reg
Florian Valot,RBNY,M,2,2,125,0,1,1,0,0,0/0,0,0,0.0,0.0,0,0,1,0.72,0,1,0,0,0,0.0,2019,reg
Brent Kallman,MIN,D,16,14,1281,0,1,1,0,0,0/0,0,0,0.0,0.0,1,1,0,0.07,12,11,2,2,0,0.0,2019,reg
Matthew Real,PHI,D,3,1,67,0,1,1,0,0,0/0,0,0,0.0,0.0,0,1,0,1.34,1,1,0,1,0,0.0,2019,reg
Saad Abdul-Salaam,CIN,D,18,11,1062,0,1,1,0,0,0/0,0,0,0.0,0.0,0,1,0,0.08,12,8,1,2,0,0.0,2019,reg
Andrew Farrell,NE,D,29,29,2603,0,1,1,0,0,0/0,0,0,0.0,0.0,0,0,1,0.03,18,24,0,7,0,0.0,2019,reg
Olivier Mbaizo,PHI,D,3,2,195,0,1,1,0,0,0/0,0,0,0.0,0.0,1,1,0,0.46,2,2,0,0,0,0.0,2019,reg
Emil Cuello,LA,M,9,2,189,0,1,2,0,0,0/0,0,0,0.0,0.0,0,1,0,0.48,4,1,0,1,0,0.0,2019,reg
Tony Rocha,NYC,M,17,9,871,0,1,2,0,0,0/0,0,0,0.0,0.0,0,0,1,0.1,15,13,0,1,0,0.0,2019,reg
Jose Bizama,HOU,D,5,4,354,0,1,2,1,0,0/0,0,0,0.0,0.0,0,1,0,0.25,4,7,1,1,0,50.0,2019,reg
Clement Bayiha,MTL,M,11,4,469,0,1,2,1,0,0/0,0,0,0.0,0.0,0,0,1,0.19,2,4,1,0,0,50.0,2019,reg
Donovan Pines,DC,D,10,9,785,0,1,2,0,0,0/0,0,0,0.0,0.0,0,0,1,0.11,8,4,0,1,0,0.0,2019,reg
Lawrence Olum,MIN,D,10,5,543,0,1,2,0,0,0/0,0,0,0.0,0.0,0,0,1,0.17,6,2,0,0,0,0.0,2019,reg
Jorge Corrales,MTL,D,19,14,1135,0,1,2,0,0,0/0,0,0,0.0,0.0,0,0,1,0.08,22,7,0,4,1,0.0,2019,reg
Raymon Gaddis,PHI,D,34,34,2963,0,1,3,0,0,0/0,0,0,0.0,0.0,0,0,1,0.03,18,13,0,2,0,0.0,2019,reg
Nicolas Hasler,CHI,D,12,8,708,0,1,3,1,0,0/0,0,0,0.0,0.0,0,1,0,0.13,3,7,1,0,0,33.33,2019,reg
Andrew Gutman,CIN,D,8,5,482,0,1,3,0,0,0/0,0,0,0.0,0.0,0,1,0,0.19,3,7,0,2,0,0.0,2019,reg
Dion Pereira,ATL,M,18,7,663,0,1,3,2,0,0/0,0,0,0.0,0.0,0,1,0,0.14,6,7,2,0,0,66.67,2019,reg
Alejandro Fuenmayor,HOU,D,8,8,699,0,1,3,0,0,0/0,0,0,0.0,0.0,0,0,1,0.13,9,7,0,3,0,0.0,2019,reg
Erickson Gallardo,TOR,F-M,5,4,244,0,1,3,0,0,0/0,0,0,0.0,0.0,1,1,0,0.37,6,1,2,0,0,0.0,2019,reg
Scott Caldwell,NE,M,20,12,1079,0,1,3,2,0,0/0,0,0,0.0,0.0,0,0,1,0.08,16,21,0,2,0,66.67,2019,reg
Edwin Cerrillo,DAL,M,12,11,918,0,1,4,0,0,0/0,0,0,0.0,0.0,1,0,1,0.1,20,6,0,2,0,0.0,2019,reg
Alex Roldan,SEA,M,9,5,442,0,1,4,0,0,0/0,0,0,0.0,0.0,0,0,1,0.2,3,6,0,0,0,0.0,2019,reg
Alex Crognale,CLB,D,12,9,881,0,1,4,0,0,0/0,0,0,0.0,0.0,0,0,1,0.1,11,8,0,5,0,0.0,2019,reg
Josue Colman,ORL,M,8,1,154,0,1,4,1,0,0/0,0,0,0.0,0.0,0,1,0,0.58,0,1,1,0,0,25.0,2019,reg
Dillon Powers,ORL,M,7,7,620,0,1,4,1,0,0/0,0,0,0.0,0.0,0,0,1,0.15,6,10,1,0,0,25.0,2019,reg
Aljaz Struna,HOU,D,29,29,2610,0,1,4,2,0,0/0,0,0,0.0,0.0,0,1,0,0.03,27,9,0,4,0,50.0,2019,reg
Chris Mavinga,TOR,D,26,24,2112,0,1,5,2,0,0/0,0,0,0.0,0.0,0,1,0,0.04,22,17,0,5,0,40.0,2019,reg
Andrew Wooten,PHI,F,7,4,352,0,1,5,2,0,0/0,0,0,0.0,0.0,0,0,1,0.26,1,4,0,0,0,40.0,2019,reg
Peter-Lee Vassell,LFC,M,6,2,177,0,1,5,3,0,0/0,0,0,0.0,0.0,0,0,1,0.51,2,0,0,0,0,60.0,2019,reg
Paul Marie,SJ,D,9,3,345,0,1,6,2,0,0/0,0,0,0.0,0.0,1,1,0,0.26,5,10,1,1,0,33.33,2019,reg
Mathieu Choiniere,MTL,M,17,6,681,0,1,7,0,0,0/0,0,0,0.0,0.0,0,0,1,0.13,14,17,1,1,0,0.0,2019,reg
Liam Fraser,TOR,M,9,9,810,0,1,7,1,0,0/0,0,0,0.0,0.0,0,1,0,0.11,14,8,0,3,0,14.29,2019,reg
Jordy Delem,SEA,M,23,17,1439,0,1,7,0,0,0/0,0,0,0.0,0.0,0,1,0,0.06,26,22,0,4,0,0.0,2019,reg
Eduardo Sosa,CLB,M,8,4,323,0,1,7,2,0,0/0,0,0,0.0,0.0,0,0,1,0.28,7,8,0,1,0,28.57,2019,reg
PC,VAN,D,18,9,812,0,1,7,1,0,0/0,0,0,0.0,0.0,0,1,0,0.11,26,12,2,4,0,14.29,2019,reg
Joseph Mora,DC,D,20,18,1595,0,1,7,0,0,0/0,0,0,0.0,0.0,0,1,0,0.06,16,21,2,3,0,0.0,2019,reg
Renzo Zambrano,POR,M,10,9,785,0,1,7,1,0,0/0,0,0,0.0,0.0,0,1,0,0.11,13,15,0,4,1,14.29,2019,reg
Julian Araujo,LA,D,18,10,891,0,1,7,2,0,0/0,0,0,0.0,0.0,0,1,0,0.1,19,5,1,3,0,28.57,2019,reg
Dave Romney,NSH,D,12,10,928,0,1,8,5,0,0/0,0,0,0.0,0.0,0,1,0,0.1,4,2,1,0,0,62.5,2019,reg
Jimmy Medranda ,NSH,D,10,2,176,0,1,8,2,0,0/0,0,0,0.0,0.0,0,1,0,0.51,3,3,0,1,0,25.0,2019,reg
Dillon Serna,COL,M,14,6,580,0,1,8,2,0,0/0,0,0,0.0,0.0,0,1,0,0.16,11,4,1,0,0,25.0,2019,reg
Romain Alessandrini,LA,M,5,5,281,0,1,8,3,0,0/0,0,0,0.0,0.0,1,1,0,0.32,7,5,2,1,0,37.5,2019,reg
A.J. DeLaGarza,MIA,D,23,23,1995,0,1,8,2,0,0/0,0,0,0.0,0.0,0,1,0,0.05,25,26,1,6,0,25.0,2019,reg
Lamine Sane,ORL,D,26,25,2274,0,1,8,1,0,0/0,0,0,0.0,0.0,1,1,0,0.04,12,11,3,4,0,12.5,2019,reg
Brek Shea,MIA,D,19,10,907,0,1,8,3,0,0/0,0,0,0.0,0.0,1,1,0,0.1,17,8,0,0,0,37.5,2019,reg
Seth Sinovic,NE,D,22,21,1911,0,1,10,1,0,0/0,0,0,0.0,0.0,0,0,1,0.05,22,11,0,4,0,10.0,2019,reg
